#OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy
OTU22	1689	138	0	481	571	1835	1133	23	163	17	0	0	756	348	372	438	138	281	235	0	0	22	9	0	16	0	0	26	296	0	48	GS|99.5|HF947037|SH205426.07FU;k:Fungi
OTU23	0	2003	0	126	0	0	6	25	802	19	0	0	31	110	17	0	0	3	0	4	6	211	7	0	21	0	0	6	93	0	0	US|1.0000|KF222159|SH221826.07FU;k:Fungi
OTU24	662	41	15	9	50	10	3	0	32	0	188	11	2	15	11	4	359	7	0	2	0	1255	20	76	6	7	7	10	36	7	5	GS|100.0|KM243309|SH190741.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Holtermanniales,g:Holtermanniella,s:Holtermanniella wattica
OTU25	42	767	258	66	4	0	3	34	1004	36	34	13	91	81	55	0	5	0	0	6	16	776	17	9	90	10	0	11	476	5	3	GS|97.3|JX042759|SH020546.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
OTU26	0	35	53	73	66	44	47	0	24	0	147	52	112	265	25	6	0	0	0	0	0	0	0	131	2817	164	0	12	144	0	0	GS|99.6|KF221938|SH221826.07FU;k:Fungi
OTU27	125	18	0	34	40	16	14	0	1969	10	20	10	4	169	2	4	7	3	0	0	6	121	87	130	12	37	14	207	21	106	89	GS|100.0|EU035472|SH219615.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Venturiaceae,g:Venturia
OTU28	37	756	20	83	25	53	59	39	358	38	13	6	32	50	39	16	14	11	11	13	17	397	21	14	302	52	0	5	56	5	5	GS|100.0|JX136179|SH031614.07FU;k:Fungi,p:Ascomycota
OTU29	0	313	15	8	6	0	5	24	461	12	36	13	39	32	2	0	0	3	3	25	26	840	14	40	429	48	0	2	20	0	0	GS|98.7|KF222402|SH221826.07FU;k:Fungi
OTU30	0	207	0	9	0	14	4	13	43	8	0	0	13	0	3	0	0	4	0	29	28	1610	19	0	0	0	0	0	0	0	3	GS|97.9|JN905170|SH022043.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae
OTU31	0	0	74	0	0	0	0	0	0	0	116	82	31	0	7	0	0	0	0	0	0	0	0	186	4616	206	0	0	0	0	0	US|0.3693|KF309947|SH017208.07FU;k:Fungi,p:Ascomycota
OTU32	0	0	38	0	0	0	0	0	0	0	116	88	0	0	4	0	0	0	0	0	0	0	0	161	2474	192	0	0	0	0	0	GS|97.4|KF221878|SH221826.07FU;k:Fungi
OTU33	0	710	0	39	0	0	3	35	244	16	0	0	12	19	4	0	0	0	0	9	10	732	14	0	3	2	0	6	25	0	4	US|0.7552|JN904316|SH022043.07FU;k:Fungi,p:Ascomycota
OTU34	11	1582	11	714	20	21	19	48	1032	36	10	19	466	977	144	7	8	10	0	5	0	95	11	10	421	23	0	51	1279	15	14	GS|97.3|KF222159|SH221826.07FU;k:Fungi,p:Ascomycota
OTU35	6	58	0	46	407	276	274	8	8	5	2	8	91	475	18	129	55	97	43	20	5	0	4	0	0	0	0	43	33	11	17	GS|100.0|KT898697|SH186930.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces,s:Pseudopithomyces chartarum
OTU36	102	42	0	964	122	1483	689	0	0	5	0	7	57	82	10	93	189	106	74	5	0	0	0	0	0	0	0	52	119	66	80	GS|100.0|KX611037|SH184176.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia africana
OTU37	1478	0	0	0	53	0	0	0	0	0	0	0	0	0	0	3	43	2	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|JX043186|SH006634.07FU;k:Fungi,p:Ascomycota
OTU38	0	9	0	308	0	11	0	1	23	0	7	8	235	384	64	0	5	2	0	0	0	8	0	17	181	16	0	29	618	5	3	US|0.9999|KF221789|SH221826.07FU;k:Fungi
OTU39	356	0	0	49	153	62	5	0	0	3	0	0	509	63	0	4	102	3	0	0	27	0	0	0	0	35	0	14	27	63	15	GS|99.5|JX982369|SH469628.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Neostagonospora
OTU40	0	0	0	443	0	6	4	0	0	0	0	0	5	267	0	0	4	0	0	0	0	0	0	0	0	0	0	6	685	2	0	SS|0.5900|JX984717|SH017605.07FU;k:Fungi
OTU41	61	12	0	258	12	44	76	0	30	0	0	0	170	189	131	25	17	12	0	0	0	0	0	0	0	0	0	33	715	25	17	GS|99.5|AY843047|SH206394.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU42	25	29	0	91	195	198	246	1	4	2	0	2	23	36	9	88	196	103	47	4	4	0	4	0	0	0	0	26	38	10	3	GSL|100.0|KU850555|SH220112.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Stemphylium
OTU43	41	0	0	31	91	562	284	0	0	0	0	0	28	26	4	29	63	48	30	0	0	0	2	0	0	0	0	7	49	9	18	GSL|100.0|DQ468028|SH184181.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella
OTU44	0	0	0	217	3	0	0	0	0	0	0	0	171	82	79	0	0	0	0	0	0	0	0	0	0	0	0	39	749	21	26	US|0.9779|AY843125|SH017608.07FU;k:Fungi
OTU45	519	18	0	79	222	366	205	4	78	0	0	0	101	135	31	24	23	27	30	0	4	0	0	0	0	0	0	4	61	2	3	SS|1.0000|KF221678|SH221826.07FU;k:Fungi
OTU46	0	0	0	0	0	0	0	0	0	0	0	0	1	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	0	0	SS|1.0000|LC204393|SH220112.07FU;k:Fungi
OTU47	0	0	24	17	0	0	7	0	0	0	109	79	3	0	0	2	0	5	0	0	0	0	0	87	966	127	0	0	0	0	0	GS|97.5|KM104091|SH493048.07FU;k:Fungi
OTU48	0	0	23	0	7	0	3	0	0	0	139	96	0	0	0	0	0	0	0	0	0	0	0	243	1041	167	0	0	27	0	0	GS|99.5|JN904617|SH212425.07FU;k:Fungi
OTU49	7	954	0	36	0	26	9	33	857	14	0	0	26	32	26	0	0	0	0	2	4	147	10	0	9	0	0	0	29	0	0	GS|98.5|KF221503|SH221826.07FU;k:Fungi
OTU50	0	0	0	0	0	0	0	5	0	0	0	30	26	39	11	0	0	0	0	3	6	0	4	0	9	10	0	678	0	120	104	GS|99.0|KU515590|SH197623.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium
OTU51	359	31	4	86	27	105	162	5	12	9	2	2	182	80	57	32	68	19	13	2	5	0	11	0	13	2	0	19	286	26	44	GS|99.5|KF222174|SH221826.07FU;k:Fungi
OTU52	5	26	0	118	2	0	0	20	0	0	0	1	0	7	0	0	5	0	69	48	0	0	0	0	0	0	0	5	827	0	8	SS|0.8000|KF861793|SH206551.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia globosa
OTU53	0	58	10	303	7	3	8	18	27	5	21	16	162	149	54	3	3	2	3	3	8	183	9	45	120	44	0	21	1197	29	28	US|0.9950|AY843125|SH017608.07FU;k:Fungi
OTU54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	4	0	0	0	0	0	0	0	0	0	0	1088	0	0	GS|100.0|AM269785|SH193355.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Fomitopsidaceae,g:Laetiporus,s:Laetiporus gilbertsonii
OTU55	1184	33	0	34	160	69	62	4	47	9	0	0	43	110	20	6	30	9	4	2	4	0	6	0	0	0	0	3	127	6	6	US|0.9998|KC965554|SH205786.07FU;k:Fungi
OTU56	0	101	51	0	0	0	0	36	10	80	10	12	0	4	0	0	0	0	0	99	41	408	37	11	8	3	0	0	0	5	0	GS|97.9|GQ508712|SH202968.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodosporidiobolus
OTU57	0	16	0	814	0	0	0	4	11	0	0	3	450	357	59	0	0	0	0	4	0	163	0	7	99	12	0	66	785	52	45	US|0.9890|KF274130|SH208579.07FU;k:Fungi
OTU58	670	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	48	0	180	US|0.9783|KJ028799|SH216362.07FU;k:Fungi,p:Basidiomycota
OTU60	0	0	0	189	8	0	0	0	0	0	0	8	0	0	28	31	23	62	8	0	0	0	0	0	0	0	0	8	92	399	6	GSL|100.0|KP131908|SH205045.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Rhynchogastremataceae,g:Papiliotrema,s:Papiliotrema laurentii
OTU61	34	20	0	38	83	205	81	8	20	9	0	8	39	124	5	43	297	102	35	4	10	0	17	3	0	10	0	45	52	30	28	GSL|100.0|JN688919|SH216783.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
OTU62	0	11	0	305	0	0	0	2	9	0	0	0	227	142	51	0	0	0	0	0	0	6	0	0	0	0	0	33	256	21	19	US|0.9999|KM104120|SH497005.07FU;k:Fungi
OTU63	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	354	32	380	182	GSL|100.0|HQ292842|SH181259.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma
OTU64	173	9	0	31	46	443	88	0	0	4	0	0	13	0	16	384	315	387	316	0	0	0	3	0	0	0	0	12	32	4	8	US|0.9900|JF945217|SH183422.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU65	0	0	0	49	0	0	0	0	0	0	0	0	1	223	0	0	0	0	0	0	0	0	0	0	0	0	0	1	940	0	0	US|0.6916|KF274421|SH193236.07FU;k:Fungi
OTU66	15	9	0	24	73	85	117	0	0	0	0	1	42	96	8	98	115	113	27	7	6	8	0	3	0	3	0	20	59	16	7	GSL|100.0|AY943047|SH184193.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormia,s:Sporormia subticinensis
OTU67	0	0	0	0	0	0	3	0	0	0	333	253	0	0	0	2	6	0	0	0	0	0	0	158	0	5	0	0	0	0	0	GSL|100.0|AY070004|SH194976.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Sporobolomyces
OTU68	0	0	0	175	0	0	2	0	0	0	0	0	6	108	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1155	3	2	US|0.7825|KU195512|SH488583.07FU;k:Fungi,p:Ascomycota
OTU69	0	7	135	0	2	0	0	2	25	3	173	122	2	0	0	1	0	0	0	2	2	4	0	129	48	93	2	0	14	0	0	US|0.7736|JN906716|SH022043.07FU;k:Fungi,p:Basidiomycota
OTU70	0	101	99	139	4	3	2	0	31	3	7	23	17	458	62	5	3	1	0	2	6	101	2	11	152	52	0	11	152	10	6	GS|100.0|KC561093|SH206392.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothioraceae,g:Sydowia,s:Sydowia polyspora
OTU71	0	46	440	209	0	3	0	0	12	19	16	117	1	35	0	15	5	5	1	0	18	41	3	14	13	151	3	1	588	1	2	GS|99.5|KF221367|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia
OTU72	0	6	0	4	0	0	0	0	0	0	10	9	4	0	4	0	0	0	0	0	0	0	0	22	697	15	0	0	90	0	0	GS|97.6|FR682152|SH009744.07FU;k:Fungi,p:Ascomycota
OTU73	0	105	604	0	2	0	1	79	17	155	19	36	9	4	1	0	2	0	0	7	0	371	12	0	3	0	0	20	8	0	1	GS|99.5|JX188232|SH213407.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,g:Curvibasidium,s:Curvibasidium rogersii
OTU74	0	4	0	166	0	1	7	0	0	1	0	0	121	160	42	1	1	0	1	1	1	7	1	0	0	0	0	23	327	19	29	SS|0.7500|FR682161|SH023317.07FU;k:Fungi,p:Ascomycota
OTU75	3	3	0	101	11	13	15	0	3	1	0	0	116	162	56	5	7	0	1	0	1	0	0	0	0	0	0	31	224	14	24	GSL|99.5|EU343259|SH200709.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae,g:Neocatenulostroma
OTU76	0	14	0	6	0	0	1	0	172	0	21	43	0	5	0	0	0	0	0	0	0	32	0	82	5	239	37	22	146	2	3	GS|100.0|HM164559|SH199123.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Calyptrozyma
OTU77	0	79	0	87	342	120	128	8	24	10	8	14	80	53	24	14	36	22	0	1	8	0	7	7	26	20	0	0	12	0	7	GS|100.0|KX611060|SH202166.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Thyrostroma
OTU78	12	148	3	75	1	7	14	6	115	13	1	3	85	162	33	0	11	1	0	1	5	156	5	4	51	4	0	9	334	7	7	GS|100.0|AY843202|SH206394.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU79	74	0	0	0	0	5	0	24	0	0	165	0	0	7	36	0	4	0	0	170	19	0	7	512	0	4	0	0	0	14	9	GS|98.3|KC965451|SH211875.07FU;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Protomyces
OTU80	795	11	0	12	3	0	8	2	7	3	0	0	24	18	16	0	7	0	5	0	0	0	0	0	0	0	0	3	60	0	5	US|0.9774|JX042759|SH020546.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
OTU81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0	0	0	GS|100.0|HM589219|SH006625.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU82	312	9	0	82	7	12	5	1	0	0	3	1	7	31	0	38	39	48	39	2	0	0	2	0	0	2	5	8	4	21	5	GS|99.5|KX611053|SH205614.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
OTU83	12	8	11	6	11	36	65	0	10	0	29	19	15	0	6	23	8	25	14	0	0	0	0	14	627	32	0	2	12	0	0	US|0.8924|KP335247|SH523478.07FU;k:Fungi,p:Ascomycota
OTU84	4	23	5	177	8	7	9	3	21	6	7	2	212	297	88	4	15	6	3	2	3	45	1	5	93	12	0	44	965	18	24	GS|98.9|JX042970|SH208580.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU85	14	23	0	44	77	59	56	0	7	1	0	0	15	21	5	34	45	47	9	2	7	8	1	1	1	0	0	63	15	34	37	GSL|100.0|MF979077|SH193471.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
