#OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy
OTU307	3	37	0	1	1	3	3	1	12	2	0	0	1	0	2	2	0	0	0	1	2	54	4	0	1	0	0	1	1	0	0	GS|98.4|KT360017|SH521512.07FU;k:Fungi
OTU308	3	1	0	19	0	0	0	0	0	0	1	0	3	15	2	0	3	0	0	0	0	5	0	1	14	3	0	2	17	2	0	GS|99.5|KF274374|SH016538.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes
OTU309	0	17	2	89	0	1	0	2	25	1	1	0	86	47	13	0	0	0	0	2	1	11	0	0	3	1	0	7	113	10	7	US|0.9999|KM104120|SH497005.07FU;k:Fungi
OTU310	0	1	0	7	0	0	0	1	8	0	0	0	36	7	1	0	0	0	0	0	0	3	0	0	1	0	0	0	6	0	1	US|0.5535|AF042435|SH222137.07FU;k:Fungi
OTU311	0	0	0	25	2	0	3	0	0	0	0	0	16	59	7	0	1	0	0	0	0	0	0	0	0	0	0	1	25	0	0	GS|98.4|AJ971406|SH017706.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae,g:Capnobotryella
OTU312	12	3	0	8	9	1	0	0	38	0	0	0	12	12	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	GS|98.3|KC785571|SH486253.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes
OTU313	0	30	0	2	0	0	0	1	14	2	0	0	1	0	0	0	0	0	0	0	6	59	3	0	0	0	0	0	1	0	0	GS|98.7|JN906883|SH212425.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes
OTU314	7	1	3	0	0	3	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	GSL|100.0|KC341719|SH215928.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus,s:Thelebolus microsporus
OTU315	0	0	0	17	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	US|0.7736|KY768057|SH223202.07FU;k:Fungi,p:Ascomycota
OTU316	5	0	0	0	6	12	13	0	0	0	0	0	0	3	0	11	3	12	3	0	0	1	0	0	0	0	0	0	0	0	0	US|0.8847|GQ999317|SH024334.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU317	0	0	3	0	0	0	0	0	0	0	4	3	1	2	0	0	0	0	0	0	0	0	0	7	99	21	0	0	0	0	0	SS|0.0500|FR682253|SH026042.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes
OTU318	0	0	0	49	0	1	0	0	0	0	0	0	23	16	3	0	0	0	0	0	0	1	0	0	0	0	0	1	25	4	5	US|0.9913|JF300533|SH205580.07FU;k:Fungi,p:Ascomycota
OTU319	1	6	0	15	0	0	4	0	0	1	0	1	13	8	0	0	15	0	0	0	7	0	0	1	1	0	0	0	2	0	0	GS|97.3|HG764521|SH202167.07FU;k:Fungi
OTU320	7	0	0	0	48	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|JX042758|SH025568.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Tremella
OTU321	30	0	0	1	13	4	0	0	1	0	0	2	1	2	0	3	3	4	0	1	0	1	1	4	0	1	0	4	1	4	6	GS|100.0|UDB026608|SH203801.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma
OTU322	0	4	0	8	0	0	0	2	0	0	0	2	2	0	3	0	0	0	1	0	0	3	2	0	0	0	0	0	51	1	4	US|0.5395|MF965846|SH193471.07FU;k:Fungi
OTU323	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|97.0|LT548281|SH491220.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Rasamsonia,s:Rasamsonia columbiensis
OTU324	5	0	0	2	3	9	2	1	2	0	0	0	5	24	2	4	4	0	2	0	0	0	1	0	0	0	0	7	4	2	2	GS|100.0|JN383491|SH215496.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria leptinellae
OTU325	0	0	0	0	0	33	17	0	0	0	0	0	2	0	0	8	0	7	6	0	0	0	1	0	0	0	0	3	0	5	1	GS|97.8|KX611003|SH489396.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
OTU327	0	7	0	3	0	0	0	0	4	0	0	0	0	1	1	0	4	0	0	0	10	62	1	0	1	0	0	3	16	4	0	GS|100.0|JF946038|SH183422.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU328	1	1	0	0	12	4	4	0	0	0	0	0	0	57	0	0	3	2	0	0	1	0	0	0	0	0	0	0	1	0	0	GS|97.8|LC204972|SH220112.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae
OTU329	0	2	0	2	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	3	0	9	39	22	1	0	0	0	0	GS|100.0|FR682254|SH208579.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
OTU330	0	0	0	19	0	0	0	0	0	0	0	0	1	11	2	0	0	0	0	0	0	3	0	0	0	0	0	1	21	1	1	US|0.5587|JN905168|SH022043.07FU;k:Fungi
OTU331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	107	1	1	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.1|EF159400|SH208798.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales
OTU332	0	1	0	0	6	1	0	0	0	0	13	16	0	0	0	3	1	1	0	1	0	4	0	19	0	55	0	2	0	1	2	GS|99.4|FN868153|SH207120.07FU;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium,s:Cystobasidium psychroaquaticum
OTU333	0	0	0	22	0	0	0	0	0	0	0	0	20	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	3	US|0.9965|KF222402|SH221826.07FU;k:Fungi
OTU334	0	0	1	0	4	5	1	0	0	0	0	0	2	3	4	13	3	6	0	0	1	0	1	0	0	0	0	1	0	1	15	GSL|100.0|KP068781|SH205047.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
OTU335	0	30	0	0	31	0	0	1	0	0	0	0	0	9	0	0	0	0	0	1	0	33	1	0	0	0	0	0	0	0	2	GS|99.5|JQ813709|SH179325.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Parmeliaceae,g:Melanohalea
OTU336	3	11	0	5	4	0	2	1	11	0	0	0	2	1	1	0	0	0	0	0	0	23	1	0	1	0	0	0	7	0	0	US|0.5526|KF221999|SH221826.07FU;k:Fungi
OTU337	0	4	0	27	0	0	0	0	1	0	0	0	23	25	8	0	0	0	0	2	2	0	0	0	0	0	0	4	12	0	2	GS|100.0|JN053167|SH213270.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU338	4	6	2	4	40	0	1	0	15	0	0	0	0	19	0	0	7	0	0	0	0	6	0	0	8	0	0	0	9	0	0	US|0.7736|None;k:Fungi,p:Ascomycota
OTU339	0	0	0	29	0	0	0	0	6	0	0	0	13	1	9	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	2	US|0.6491|AF540546|SH005017.07FU;k:Fungi
OTU340	0	1	0	4	13	5	10	0	0	0	0	0	0	7	0	5	5	9	2	0	0	0	0	0	0	0	0	1	3	1	0	GS|100.0|JX984722|SH212864.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU341	2	1	0	16	35	15	26	0	0	0	0	0	5	7	3	1	12	1	2	2	1	3	0	0	3	0	0	0	6	1	2	GS|100.0|KX611020|SH019475.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
OTU342	0	5	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	2	45	2	0	0	0	0	0	0	0	0	SS|1.0000|JN905696|SH022043.07FU;k:Fungi
OTU343	0	1	0	0	0	0	0	0	0	0	0	0	45	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	GS|99.4|KF221671|SH221826.07FU;k:Fungi
OTU344	5	0	35	1	4	0	2	5	0	5	0	0	3	3	0	4	3	4	1	8	9	0	0	1	0	0	0	8	0	0	13	GS|99.4|KF800687|SH197623.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium
OTU345	10	1	0	1	34	3	0	0	4	0	0	0	0	2	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|JX043190|SH216759.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma
OTU346	0	8	0	8	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	1	13	1	0	0	1	0	0	4	0	0	GS|100.0|JN053132|SH209326.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes
OTU347	1	0	0	33	0	1	6	0	0	0	0	0	13	6	3	0	5	1	0	0	0	0	0	0	0	0	0	2	18	1	4	US|0.5887|KF800218|SH017709.07FU;k:Fungi
OTU348	0	0	0	5	26	5	15	0	0	0	0	0	3	7	0	3	1	5	1	0	0	0	0	0	0	0	0	0	1	0	0	GS|100.0|KX912042|SH193471.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Thermomyces,s:Thermomyces lanuginosus
OTU349	17	15	0	2	0	0	0	0	18	0	0	0	0	9	0	0	0	1	0	2	1	54	0	1	3	0	0	0	18	1	0	GS|99.4|HM853976|SH198655.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Melanommataceae,g:Herpotrichia,s:Herpotrichia juniperi
OTU350	0	5	3	2	3	1	3	1	13	0	0	0	0	1	7	0	0	0	0	0	0	2	0	2	3	0	0	1	28	0	2	SS|0.5500|DQ491510|SH194391.07FU;k:Fungi,p:Ascomycota
OTU351	4	0	1	3	4	1	2	2	0	0	0	0	16	14	26	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	6	GS|100.0|KF221778|SH221826.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales
OTU352	45	4	0	5	0	0	2	1	0	0	0	0	0	0	3	0	4	0	0	58	2	1	4	0	0	0	0	0	0	0	0	GS|100.0|JQ857041|SH215934.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Leuconeurospora
OTU353	0	0	0	17	0	0	0	0	0	0	0	0	23	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	US|0.7736|None;k:Fungi,p:Basidiomycota
OTU354	0	1	0	2	5	15	13	0	0	1	0	0	10	3	1	1	5	0	0	0	1	0	0	0	0	0	0	0	7	0	0	US|0.4851|JF945512|SH183422.07FU;k:Fungi
OTU355	0	10	0	0	0	0	0	1	62	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	GS|99.5|HM589238|SH191385.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
OTU356	0	2	0	2	0	0	0	1	6	2	0	0	1	0	1	0	0	0	0	1	0	47	3	0	0	0	0	0	0	0	0	SS|1.0000|JN906140|SH022043.07FU;k:Fungi
OTU357	0	0	2	0	0	0	0	1	46	3	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	GS|99.3|KC966331|SH212670.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Phaeotremellaceae,g:Gelidatrema
OTU358	0	1	1	37	0	3	0	0	0	1	1	0	7	28	0	0	1	1	0	1	0	7	0	0	1	1	0	0	24	0	0	US|0.9998|JN906386|SH022043.07FU;k:Fungi
OTU359	4	1	0	9	11	33	21	0	0	0	0	0	0	7	0	8	10	13	6	0	0	1	0	0	0	0	0	2	3	0	0	GSL|100.0|EF652074|SH179237.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus
OTU360	0	0	0	58	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|KF221803|SH221826.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Erysiphales,f:Erysiphaceae,g:Blumeria
OTU361	0	8	0	6	0	0	0	0	0	0	0	0	0	37	1	0	0	2	4	0	0	0	0	0	0	0	0	0	20	0	9	GS|100.0|EU563928|SH216361.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula mucilaginosa
OTU362	0	6	0	3	0	0	0	3	15	2	0	0	0	0	0	0	0	0	0	0	0	85	1	0	1	0	0	0	0	0	1	GS|98.7|KF823589|SH198314.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Sirobasidiaceae
OTU363	0	5	0	1	0	0	0	0	13	0	0	0	1	1	0	0	0	0	0	0	1	32	0	0	0	0	0	1	0	1	0	SS|1.0000|AF444563|SH206718.07FU;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Bensingtonia,s:Bensingtonia ciliata
OTU364	2	1	0	4	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	9	20	18	8	US|0.7733|GQ515614|SH202968.07FU;k:Fungi,p:Ascomycota
OTU365	2	0	0	3	1	6	2	0	2	0	0	0	0	5	1	6	1	7	0	0	0	11	0	0	0	0	0	1	9	0	0	US|0.6916|LC204542|SH220112.07FU;k:Fungi
OTU366	2	2	1	1	71	2	0	0	2	0	0	0	1	4	0	12	10	5	2	0	0	2	0	0	1	0	0	1	0	1	1	GSL|100.0|GQ911534|SH190019.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Piskurozymaceae,g:Solicoccozyma
OTU367	5	0	0	8	1	18	26	0	0	0	0	0	8	6	4	1	9	13	1	0	0	1	0	0	0	0	0	2	10	1	2	US|0.9910|JX136392|SH021078.07FU;k:Fungi
OTU368	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|KF251313|SH022041.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Passalora,s:Passalora fusimaculans
OTU369	3	1	0	5	34	27	23	0	1	0	0	0	2	8	0	15	7	8	6	1	0	3	0	0	0	0	0	0	2	2	4	GSL|100.0|KC425244|SH195297.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae
OTU370	0	14	0	1	0	5	0	1	0	1	0	0	1	1	0	0	5	0	0	2	2	23	0	0	14	1	0	1	1	0	0	SS|0.7500|MF331432|SH220112.07FU;k:Fungi
OTU371	1	1	0	3	0	6	0	0	6	0	0	0	12	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	US|0.5526|FR870473|SH205052.07FU;k:Fungi
OTU372	1	5	2	0	87	0	0	0	1	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	5	0	0	0	2	0	0	US|0.7601|GU184116|SH191938.07FU;k:Fungi,p:Ascomycota
OTU374	1	0	0	12	0	0	0	0	0	0	0	0	6	12	1	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	2	US|0.1816|AF042431|SH181993.07FU;k:Fungi,p:Basidiomycota
OTU375	1	0	0	0	0	4	2	4	0	7	1	1	1	0	2	6	0	4	5	8	3	0	0	4	0	4	4	5	0	4	5	US|0.7736|None;k:Fungi,p:Ascomycota
OTU376	0	0	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	1	0	0	0	SS|0.0100|KJ834511|SH182529.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium
OTU377	4	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.4200|AF455453|SH216784.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
OTU378	6	3	0	1	0	4	8	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	GS|100.0|FJ820733|SH213830.07FU;k:Fungi,p:Ascomycota,c:Arthoniomycetes
OTU379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	49	0	0	0	0	0	0	0	0	0	GSL|100.0|HQ688653|SH213755.07FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Heydenia
OTU380	0	1	0	7	0	0	0	0	0	0	0	0	11	9	7	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	1	US|0.6916|AJ244240|SH020667.07FU;k:Fungi,p:Ascomycota
OTU381	1	0	37	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	4	GS|100.0|KF221458|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes
OTU382	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	3	77	4	1	0	0	0	0	US|0.9931|KC965667|SH026982.07FU;k:Fungi,p:Ascomycota
OTU383	2	0	0	2	1	7	7	0	0	1	0	0	2	6	1	17	14	14	9	0	0	0	0	0	0	0	0	0	0	0	0	US|0.3899|GQ510484|SH202968.07FU;k:Fungi
OTU384	0	2	0	3	15	13	8	1	0	0	0	0	3	5	1	1	2	3	0	0	0	1	0	0	1	0	0	1	0	1	0	GS|100.0|DQ683977|SH020958.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU385	19	1	0	1	0	0	3	0	2	0	0	0	3	6	1	0	0	0	0	0	2	44	1	0	0	0	0	0	19	1	1	US|0.7736|JN905130|SH022043.07FU;k:Fungi,p:Ascomycota
OTU386	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.3|KT359994|SH521512.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Zymoseptoria
OTU387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	SS|1.0000|EU144460|SH486561.07FU;k:Fungi
OTU388	0	0	0	8	0	3	1	0	2	0	0	0	5	21	4	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	1	SS|1.0000|KF221688|SH221826.07FU;k:Fungi
OTU389	4	17	0	10	7	46	20	0	0	0	0	0	0	25	0	3	7	1	2	0	1	0	0	0	0	0	0	0	7	0	1	GSL|100.0|AF246293|SH191316.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria
OTU390	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	4	9	4	0	0	2	1	0	7	23	4	1	GS|100.0|KF988377|SH199934.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum,s:Geastrum fuscogleba
OTU391	0	0	0	12	0	0	0	0	0	0	0	0	12	10	2	0	0	0	0	0	0	1	0	0	0	0	0	2	42	0	3	US|0.5739|JN904197|SH212425.07FU;k:Fungi
OTU392	0	0	0	0	0	0	0	0	0	0	0	0	1	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	GS|99.0|KM504452|SH495752.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU393	0	0	0	0	0	2	2	1	0	6	1	2	2	0	1	4	0	6	7	5	1	0	6	7	0	6	3	3	0	5	9	US|0.7713|None;k:Fungi,p:Ascomycota
OTU394	6	6	2	10	13	0	0	0	7	0	0	0	0	10	0	0	9	0	0	0	0	4	0	0	5	0	0	0	21	0	0	US|0.7033|None;k:Fungi
OTU395	0	0	0	0	0	0	1	0	0	12	0	0	1	0	0	1	0	5	1	3	1	0	30	0	0	0	2	1	0	2	0	GS|100.0|UDB028036|SH190236.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Elaphomycetaceae,g:Elaphomyces,s:Elaphomyces muricatus
OTU396	28	3	0	1	6	2	2	0	0	0	0	0	15	7	17	2	2	2	2	1	0	0	4	0	0	0	0	0	0	0	2	GS|98.4|KF221342|SH221826.07FU;k:Fungi
OTU397	0	2	0	3	10	6	4	0	2	0	0	0	1	7	0	1	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	GSL|100.0|KC787692|SH209070.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Stachybotrys
OTU398	0	0	0	19	0	0	4	0	0	0	0	0	12	4	0	0	0	0	0	0	0	3	0	0	0	0	0	2	9	0	4	GS|97.8|JN053511|SH483355.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Tremella,s:Tremella parmeliarum
OTU399	0	0	4	3	0	0	0	0	2	0	1	3	0	0	0	0	1	0	1	0	0	2	0	7	39	6	0	0	1	0	0	US|0.6916|KF274441|SH472946.07FU;k:Fungi
OTU400	0	1	1	1	0	2	1	1	0	0	2	0	0	2	1	4	1	0	1	0	0	0	1	5	16	3	0	0	10	1	0	GS|98.4|FJ553155|SH027285.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae
OTU401	0	19	0	0	0	0	1	1	1	1	0	0	12	0	0	1	1	0	0	3	2	18	3	0	0	0	0	6	60	27	4	GS|98.9|KF297015|SH198677.07FU;k:Fungi
OTU402	0	7	0	1	13	10	15	0	10	0	0	0	1	4	1	5	7	13	1	0	1	0	0	0	1	0	0	0	38	2	1	GS|100.0|KT896631|SH177344.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Botrytis,s:Botrytis cinerea
OTU403	0	0	0	11	0	0	0	0	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	GS|99.0|AF274082|SH027984.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Trapeliales,f:Trapeliaceae,g:Placynthiella,s:Placynthiella icmalea
OTU404	0	1	0	0	0	12	37	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.2000|KM879333|SH487502.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae,g:Acarospora
OTU405	0	2	1	2	1	0	0	0	2	0	0	1	3	21	1	0	0	0	0	0	0	0	0	1	40	2	0	1	15	1	0	US|0.8200|MF554798|SH220112.07FU;k:Fungi,p:Basidiomycota
OTU406	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	59	7	0	0	0	0	0	US|0.3899|KF221354|SH221826.07FU;k:Fungi
OTU407	1	2	0	10	1	0	0	0	2	0	0	0	1	4	6	0	0	0	0	0	0	3	0	0	2	0	0	0	11	0	1	US|0.0112|AY843113|SH021774.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales
OTU408	0	12	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	5	21	5	0	0	0	0	0	0	0	0	US|0.7736|MF976000|SH193471.07FU;k:Fungi,p:Ascomycota
OTU409	0	0	0	1	0	29	2	0	0	0	0	0	1	0	0	1	2	5	2	0	0	0	0	0	0	0	0	3	4	0	0	GSL|100.0|GQ888678|SH195739.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus carbonarius
OTU410	0	0	0	6	0	0	0	0	0	0	0	0	0	37	2	0	0	1	0	0	0	0	0	0	0	0	0	1	124	1	5	US|0.7836|FJ554162|SH208590.07FU;k:Fungi,p:Ascomycota
OTU411	0	8	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0	0	0	0	43	1	0	3	0	0	0	0	0	0	US|0.9928|KF274441|SH472946.07FU;k:Fungi
OTU412	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	35	11	2	0	0	0	0	0	0	0	0	1	2	0	0	GS|98.4|KF221498|SH221826.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU413	10	20	6	6	19	0	0	0	10	0	0	0	0	35	0	0	17	0	0	0	0	6	0	0	14	0	0	0	22	0	0	GS|97.6|MF554794|SH220112.07FU;k:Fungi
OTU414	3	1	0	2	0	1	2	0	0	0	0	0	11	2	2	1	16	4	1	0	4	0	2	3	3	0	0	14	33	10	17	GS|99.5|KP334715|SH196004.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Comoclathris,s:Comoclathris sedi
OTU415	55	5	0	4	3	6	1	0	5	0	0	0	0	3	0	1	1	2	1	0	0	1	0	0	0	0	0	0	7	0	1	GS|98.2|JX042827|SH191412.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
OTU416	0	0	0	0	0	1	0	2	0	7	2	0	3	0	0	0	0	6	2	0	4	0	2	1	0	0	0	5	0	3	1	GSL|100.0|EF644112|SH193723.07FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Peziza
OTU417	1	18	0	0	0	0	0	4	34	1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	US|0.6124|KF221342|SH221826.07FU;k:Fungi
OTU418	0	31	0	2	0	3	0	1	10	1	0	0	3	2	0	0	0	1	0	1	3	9	1	0	1	1	0	0	1	0	0	GSL|100.0|KJ565855|SH202343.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Parmeliaceae,g:Letharia,s:Letharia vulpina
OTU419	0	0	0	0	5	1	2	0	0	1	1	0	4	3	1	4	0	2	2	1	7	0	0	0	0	0	0	15	0	2	3	GS|99.0|JN383492|SH216793.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria lolii
OTU420	0	3	0	4	14	6	7	0	0	0	0	0	1	10	0	1	3	1	0	0	0	1	0	0	0	0	1	0	0	0	1	US|0.3259|KT385800|SH181421.07FU;k:Fungi,p:Ascomycota
OTU421	6	2	0	10	9	21	10	0	0	0	0	0	3	2	1	13	11	2	2	2	2	1	0	0	2	0	0	5	23	1	0	US|0.1816|JN905810|SH022043.07FU;k:Fungi,p:Ascomycota
